Super Formula Light @ Imola - Corners 5 & 6
InputTorque60Hz,InputTorque500Hz
-2.3324983,-2.331001
-2.5029812,-2.2421348
-2.5029812,-2.1383045
-2.5029812,-2.0762405
-2.5029812,-2.0777893
-2.5029812,-2.152404
-2.5029812,-2.2507865
-2.5029812,-2.378694
-2.5029812,-2.5063794
-2.5029812,-2.5070453
-3.4802964,-2.6946154
-3.4802964,-2.8207436
-3.4802964,-2.9722505
-3.4802964,-3.1321366
-3.4802964,-3.2744648
-3.4802964,-3.3804848
-3.4802964,-3.4496217
-3.4802964,-3.4810274
-4.036235,-3.5376818
-4.036235,-3.6184218
-4.036235,-3.6931422
-4.036235,-3.770199
-4.036235,-3.8736374
-4.036235,-3.979498
-4.036235,-4.037435
-4.036235,-4.03644
-3.4951382,-3.93552
-3.4951382,-3.8356118
-3.4951382,-3.7015128
-3.4951382,-3.5605402
-3.4951382,-3.4491096
-3.4951382,-3.4153993
-3.4951382,-3.4411533
-3.4951382,-3.4965158
-3.4951382,-3.4967244
-4.369458,-3.6037776
-4.369458,-3.7083354
-4.369458,-3.8266551
-4.369458,-3.95006
-4.369458,-4.070452
-4.369458,-4.2049522
-4.369458,-4.314164
-4.369458,-4.3711753
-4.0796127,-4.257074
-4.0796127,-4.1184835
-4.0796127,-4.019602
-4.0796127,-3.9586205
-4.0796127,-3.9327855
-4.0796127,-3.9839764
-4.0796127,-4.0589223
-4.0796127,-4.0855007
-3.762167,-3.9982002
-3.762167,-3.8783343
-3.762167,-3.757849
-3.762167,-3.6643689
-3.762167,-3.6176748
-3.762167,-3.6095734
-3.762167,-3.6659465
-3.762167,-3.7644517
-4.3264694,-3.890976
-4.3264694,-3.9629736
-4.3264694,-4.0092916
-4.3264694,-4.0389094
-4.3264694,-4.069626
-4.3264694,-4.1564775
-4.3264694,-4.254995
-4.3264694,-4.3285017
-4.3264694,-4.328908
-4.2740855,-4.377684
-4.2740855,-4.468797
-4.2740855,-4.539359
-4.2740855,-4.573195
-4.2740855,-4.54218
-4.2740855,-4.4570622
-4.2740855,-4.355529
-4.2740855,-4.2709756
-4.1316137,-4.1542826
-4.1316137,-4.1132755
-4.1316137,-4.0981064
-4.1316137,-4.1044283
-4.1316137,-4.1287727
-4.1316137,-4.1252494
-4.1316137,-4.123245
-4.1316137,-4.131825
-5.56925,-4.309792
-5.56925,-4.40435
-5.56925,-4.5242915
-5.56925,-4.6818604
-5.56925,-4.879076
-5.56925,-5.0798206
-5.56925,-5.3291516
-5.56925,-5.576206
-5.56925,-5.577227
-6.427411,-5.9069653
-6.427411,-6.0420423
-6.427411,-6.1145134
-6.427411,-6.150962
-6.427411,-6.185912
-6.427411,-6.228566
-6.427411,-6.315975
-6.427411,-6.430495
-6.32389,-6.5000257
-6.32389,-6.548444
-6.32389,-6.582847
-6.32389,-6.596128
-6.32389,-6.584387
-6.32389,-6.539526
-6.32389,-6.4424014
-6.32389,-6.3212934
-5.4250174,-6.030416
-5.4250174,-5.878794
-5.4250174,-5.766267
-5.4250174,-5.683621
-5.4250174,-5.6171618
-5.4250174,-5.5547853
-5.4250174,-5.486353
-5.4250174,-5.42333
-4.8808403,-5.3416147
-4.8808403,-5.3205037
-4.8808403,-5.26477
-4.8808403,-5.180202
-4.8808403,-5.0917854
-4.8808403,-5.027169
-4.8808403,-4.9524393
-4.8808403,-4.8790755
-4.8808403,-4.8783317
-5.182109,-4.983969
-5.182109,-5.122226
-5.182109,-5.245419
-5.182109,-5.321867
-5.182109,-5.3205714
-5.182109,-5.272069
-5.182109,-5.218177
-5.182109,-5.1810465
-6.3280587,-5.25191
-6.3280587,-5.368184
-6.3280587,-5.526594
-6.3280587,-5.718225
-6.3280587,-5.9299173
-6.3280587,-6.1879025
-6.3280587,-6.3337355
-6.3280587,-6.328534
-5.3687887,-6.0378942
-5.3687887,-5.794253
-5.3687887,-5.617026
-5.3687887,-5.525233
-5.3687887,-5.466196
-5.3687887,-5.4123964
-5.3687887,-5.379047
-5.3687887,-5.368134
-5.3687887,-5.36833
-5.4032145,-5.345776
-5.4032145,-5.338716
-5.4032145,-5.4129205
-5.4032145,-5.5206966
-5.4032145,-5.5727787
-5.4032145,-5.517914
-5.4032145,-5.4449573
-5.4032145,-5.4020915
-5.8091173,-5.444202
-5.8091173,-5.3973117
-5.8091173,-5.4091125
-5.8091173,-5.4646215
-5.8091173,-5.506576
-5.8091173,-5.552154
-5.8091173,-5.6610255
-5.8091173,-5.8128576
-5.8091173,-5.8137317
-5.303484,-6.0123262
-5.303484,-6.0110807
-5.303484,-5.9108844
-5.303484,-5.743763
