Super Formula Light @ Imola - Road Texture
InputTorque60Hz,InputTorque500Hz
-1.1247,-0.7336
-1.1247,-0.8009
-1.1247,-0.9005
-1.1247,-1.0456
-1.1247,-1.1232
-0.9354,-0.9942
-0.9354,-0.8067
-0.9354,-0.5722
-0.9354,-0.3715
-0.9354,-0.3132
-0.9354,-0.4234
-0.9354,-0.7387
-0.9354,-0.9471
-0.9354,-0.9373
-0.7435,-1.0568
-0.7435,-0.9613
-0.7435,-0.6971
-0.7435,-0.4831
-0.7435,-0.3463
-0.7435,-0.4556
-0.7435,-0.623
-0.7435,-0.7433
-0.4478,-0.6963
-0.4478,-0.5837
-0.4478,-0.531
-0.4478,-0.5345
-0.4478,-0.585
-0.4478,-0.6289
-0.4478,-0.5587
-0.4478,-0.4369
-0.5292,-0.1678
-0.5292,-0.0804
-0.5292,-0.2178
-0.5292,-0.5203
-0.5292,-0.7689
-0.5292,-0.901
-0.5292,-0.7292
-0.5292,-0.5208
-1.174,-0.1707
-1.174,-0.1663
-1.174,-0.4147
-1.174,-0.7605
-1.174,-1.026
-1.174,-1.2059
-1.174,-1.2256
-1.174,-1.1701
-1.174,-1.1734
-1.6581,-1.1214
-1.6581,-1.2201
-1.6581,-1.3907
-1.6581,-1.5449
-1.6581,-1.6682
-1.6581,-1.6899
-1.6581,-1.6759
-1.6581,-1.6578
-1.4416,-1.575
-1.4416,-1.563
-1.4416,-1.5333
-1.4416,-1.4774
-1.4416,-1.3169
-1.4416,-1.2728
-1.4416,-1.3344
-1.4416,-1.4376
-1.4416,-1.4447
-1.6905,-1.7065
-1.6905,-1.9119
-1.6905,-1.9841
-1.6905,-1.9715
-1.6905,-1.9383
-1.6905,-1.873
-1.6905,-1.7813
-1.6905,-1.6865
-2.5732,-1.7145
-2.5732,-1.7874
-2.5732,-1.9793
-2.5732,-2.1557
-2.5732,-2.4517
-2.5732,-2.576
-2.5732,-2.6249
-2.5732,-2.5764
-2.7139,-2.4498
-2.7139,-2.4213
-2.7139,-2.4656
-2.7139,-2.5865
-2.7139,-2.6723
-2.7139,-2.7128
-2.7139,-2.7157
-2.7139,-2.7139
-2.7139,-2.7139
-3.1386,-2.7663
-3.1386,-2.9025
-3.1386,-3.0486
-3.1386,-3.14
-3.1386,-3.1901
-3.1386,-3.2104
-3.1386,-3.1762
-3.1386,-3.1385
-3.0332,-3.0496
-3.0332,-3.0191
-3.0332,-2.9966
-3.0332,-2.9954
-3.0332,-3.0168
-3.0332,-3.03
-3.0332,-3.0372
-3.0332,-3.0334
-3.243,-3.0175
-3.243,-3.0459
-3.243,-3.105
-3.243,-3.1728
-3.243,-3.2124
-3.243,-3.2375
-3.243,-3.2401
-3.243,-3.2429
-3.5621,-3.2672
-3.5621,-3.2734
-3.5621,-3.2781
-3.5621,-3.2911
-3.5621,-3.3228
-3.5621,-3.4094
-3.5621,-3.4979
-3.5621,-3.5546
-3.5621,-3.5643
-3.3898,-3.6234
-3.3898,-3.6183
-3.3898,-3.5919
-3.3898,-3.5607
-3.3898,-3.5296
-3.3898,-3.4894
-3.3898,-3.4303
-3.3898,-3.3883
-3.4399,-3.3562
-3.4399,-3.3046
-3.4399,-3.301
-3.4399,-3.3217
-3.4399,-3.3339
-3.4399,-3.3544
-3.4399,-3.3939
-3.4399,-3.4448
-3.4399,-3.441
-3.9503,-3.5889
-3.9503,-3.6524
-3.9503,-3.6898
-3.9503,-3.7138
-3.9503,-3.7593
-3.9503,-3.8342
-3.9503,-3.9273
-3.9503,-3.9519
-3.9812,-3.8692
-3.9812,-3.7127
-3.9812,-3.6083
-3.9812,-3.5793
-3.9812,-3.6949
-3.9812,-3.8278
-3.9812,-3.9501
-3.9812,-3.9826
-4.0292,-3.9451
-4.0292,-3.8493
-4.0292,-3.7768
-4.0292,-3.7766
-4.0292,-3.8891
-4.0292,-4.0661
-4.0292,-4.1075
-4.0292,-4.0373
-3.6351,-3.7433
-3.6351,-3.642
-3.6351,-3.7104
-3.6351,-3.8542
-3.6351,-4.0171
-3.6351,-4.0707
-3.6351,-3.8689
-3.6351,-3.6165
-3.6351,-3.6259
-3.6202,-3.5193
-3.6202,-3.731
-3.6202,-3.9947
-3.6202,-4.2922
-3.6202,-4.3767
-3.6202,-4.1244
-3.6202,-3.8739
-3.6202,-3.5942
-3.684,-3.7061
-3.684,-4.0545
-3.684,-4.2992
-3.684,-4.4072
-3.684,-4.1789
-3.684,-3.7021
-3.684,-3.6015
-3.684,-3.6866
-3.9491,-4.3028
-3.9491,-4.7623
-3.9491,-4.8428
-3.9491,-4.5446
-3.9491,-4.1338
-3.9491,-3.7657
-3.9491,-3.7617
-3.9491,-3.9598
-3.9491,-3.95
-5.1327,-4.5321
-5.1327,-4.8965
-5.1327,-5.0196
-5.1327,-4.9472
-5.1327,-4.8381
-5.1327,-4.8274
-5.1327,-4.9677
-5.1327,-5.151
-5.4546,-5.6191
-5.4546,-5.8468
-5.4546,-5.8521
-5.4546,-5.7412
-5.4546,-5.6134
-5.4546,-5.4414
-5.4546,-5.4152
-5.4546,-5.4572
-5.4546,-5.4547
-5.3723,-5.5596
-5.3723,-5.5741
-5.3723,-5.4796
-5.3723,-5.3238
-5.3723,-5.0049
-5.3723,-4.9216
-5.3723,-5.1324
-5.3723,-5.3907
-6.1208,-5.7472
-6.1208,-5.7814
-6.1208,-5.5917
-6.1208,-5.3848
-6.1208,-5.1612
-6.1208,-5.3265
-6.1208,-5.6319
-6.1208,-6.1579
-7.0898,-6.3894
-7.0898,-6.3229
-7.0898,-6.1474
-7.0898,-6.0262
-7.0898,-6.2274
-7.0898,-6.6415
-7.0898,-6.9891
-7.0898,-7.0941
-7.0898,-7.0963
-6.0174,-6.5493
-6.0174,-5.9673
-6.0174,-5.5798
-6.0174,-5.4788
-6.0174,-5.6331
-6.0174,-5.9181
-6.0174,-6.0272
-6.0174,-6.0181
-6.339,-5.733
-6.339,-5.6125
-6.339,-5.7687
-6.339,-5.9693
-6.339,-6.3699
-6.339,-6.5105
-6.339,-6.4892
-6.339,-6.3267
-7.2763,-6.2743
-7.2763,-6.4315
-7.2763,-6.7605
-7.2763,-6.9999
-7.2763,-7.2248
-7.2763,-7.2604
-7.2763,-7.2724
-7.2763,-7.2767
-7.675,-7.3259
-7.675,-7.4927
-7.675,-7.6515
-7.675,-7.7427
-7.675,-7.759
-7.675,-7.7459
-7.675,-7.716
-7.675,-7.6721
-7.675,-7.6748
-8.6252,-7.6744
-8.6252,-7.7306
-8.6252,-7.7533
-8.6252,-7.8151
-8.6252,-7.9375
-8.6252,-8.1064
-8.6252,-8.4306
-8.6252,-8.6327
-7.8328,-8.7778
-7.8328,-8.719
-7.8328,-8.5587
-7.8328,-8.3585
-7.8328,-8.2093
-7.8328,-8.0264
-7.8328,-7.8842
-7.8328,-7.8325
-8.7976,-7.7899
-8.7976,-7.9763
-8.7976,-8.256
-8.7976,-8.5366
-8.7976,-8.7025
-8.7976,-8.8521
-8.7976,-8.8586
-8.7976,-8.7945
-8.7976,-8.7965
-7.9585,-8.5476
-7.9585,-8.3858
-7.9585,-8.2555
-7.9585,-8.1898
-7.9585,-8.1188
-7.9585,-8.0605
-7.9585,-7.9907
-7.9585,-7.9571
-7.9585,-7.9585
-8.4173,-7.8888
-8.4173,-7.9266
-8.4173,-8.0363
-8.4173,-8.1327
-8.4173,-8.2116
-8.4173,-8.2586
-8.4173,-8.3063
-10.4251,-8.6187
-10.4251,-8.8054
-10.4251,-9.0299
-10.4251,-9.3139
-10.4251,-9.6003
-10.4251,-10.005
-10.4251,-10.2459
-10.4251,-10.4461
-10.4251,-10.4299
-10.6311,-10.2696
-10.6311,-10.1809
-10.6311,-10.264
-10.6311,-10.5482
-10.6311,-10.9087
-10.6311,-11.1286
-10.6311,-10.9274
-10.6311,-10.6244
-10.6311,-10.6204
-9.0416,-9.885
-9.0416,-9.6064
-9.0416,-9.5088
-9.0416,-9.5883
-9.0416,-9.6879
-9.0416,-9.5811
-9.0416,-9.3828
-8.4152,-8.6726
-8.4152,-8.6479
-8.4152,-8.7686
-8.4152,-8.8842
-8.4152,-8.8877
-8.4152,-8.802
-8.4152,-8.6021
-8.4152,-8.4022
-8.4152,-8.4125
-7.9024,-8.0976
-7.9024,-8.0153
-7.9024,-8.0329
-7.9024,-8.0943
-7.9024,-8.2524
-7.9024,-8.2722
-7.9024,-8.0938
-7.9024,-7.8955
-7.2959,-7.596
-7.2959,-7.5001
-7.2959,-7.519
-7.2959,-7.6458
-7.2959,-7.8036
-7.2959,-7.7635
-7.2959,-7.5673
-7.2959,-7.327
-6.6471,-7.1429
-6.6471,-7.1842
-6.6471,-7.2555
-6.6471,-7.2502
-6.6471,-7.1329
-6.6471,-6.8487
-6.6471,-6.6951
-6.6471,-6.6408
-6.6471,-6.6447
-7.72,-7.0468
-7.72,-7.477
-7.72,-7.8254
-7.72,-7.9815
-7.72,-8.0928
-7.72,-8.0471
-7.72,-7.8649
-7.72,-7.7155
-7.72,-7.7143
-6.5574,-7.606
-6.5574,-7.5552
-6.5574,-7.547
-6.5574,-7.5417
-6.5574,-7.4376
-6.5574,-7.2153
-6.5574,-6.9323
-6.5574,-6.5525
-5.9098,-6.3563
-5.9098,-6.4005
-5.9098,-6.4571
-5.9098,-6.4517
-5.9098,-6.3047
-5.9098,-6.1088
-5.9098,-5.9318
-5.9098,-5.9049
-6.373,-6.1997
-6.373,-6.4367
-6.373,-6.5413
-6.373,-6.4968
-6.373,-6.349
-6.373,-6.2746
-6.373,-6.2888
-6.373,-6.3807
-6.8325,-6.5828
-6.8325,-6.6994
-6.8325,-6.7415
