Super Formula Light @ Monza - Oval - Turn 2
InputTorque60Hz,InputTorque500Hz
2.185191,2.1777358
1.6855843,1.8209698
1.6855843,1.6215106
1.6855843,1.4937086
1.6855843,1.4426
1.6855843,1.4172093
1.6855843,1.4209968
1.6855843,1.5068761
1.6855843,1.6844459
1.6855843,1.6902846
3.7562687,2.169266
3.7562687,2.475935
3.7562687,2.7600348
3.7562687,3.0600266
3.7562687,3.4165826
3.7562687,3.5515366
3.7562687,3.6741445
1.9086617,3.7474034
1.9086617,3.512987
1.9086617,3.2481647
1.9086617,2.9712381
1.9086617,2.628175
1.9086617,2.1876078
1.9086617,1.9092027
1.9086617,1.9063503
1.9086617,1.9080669
1.288704,2.0243464
1.288704,1.9807706
1.288704,1.9825025
1.288704,2.0296957
1.288704,2.0104465
1.288704,1.8199031
1.288704,1.5668324
1.288704,1.2897799
1.288704,1.2802017
0.6589571,1.3460262
0.6589571,1.6230712
0.6589571,1.8560747
0.6589571,2.0018563
0.6589571,1.9622949
0.6589571,1.6584864
0.6589571,1.1602213
0.7714042,0.06849564
0.7714042,-0.16966607
0.7714042,-0.2709903
0.7714042,-0.23357084
0.7714042,-0.0795133
0.7714042,0.16699606
0.7714042,0.48625544
0.7714042,0.78806263
0.7714042,0.77694964
0.7375879,1.3289094
0.7375879,1.4706762
0.7375879,1.503509
0.7375879,1.4772408
0.7375879,1.4824545
0.7375879,1.388667
0.7375879,1.1428702
0.7375879,0.74165237
0.7375879,0.7262464
0.6410409,0.60930896
0.6410409,0.61574805
0.6410409,0.60862345
0.6410409,0.6262552
0.6410409,0.84283745
0.6410409,0.8305721
0.6410409,0.73249036
2.1695666,0.5751499
2.1695666,0.3444491
2.1695666,0.24673659
2.1695666,0.35379842
2.1695666,0.63835627
2.1695666,1.0131736
2.1695666,1.6093886
2.1695666,2.1858904
2.1695666,2.1867487
1.3969874,2.8880198
1.3969874,3.155595
1.3969874,2.9643552
1.3969874,2.539337
1.3969874,2.0609138
1.3969874,1.7071033
1.3969874,1.483762
1.3969874,1.3940812
1.3969874,1.3949285
1.8247432,1.4532303
1.8247432,1.5863538
1.8247432,1.6492088
1.8247432,1.6825477
1.8247432,1.8160725
1.8247432,1.8586041
1.8247432,1.8520926
1.9515927,1.6250546
1.9515927,1.54815
1.9515927,1.646384
1.9515927,1.8354924
1.9515927,2.0207534
1.9515927,2.0705678
1.9515927,2.0353982
1.9515927,1.949351
1.9515927,1.9495033
2.162023,1.7199755
2.162023,1.6198658
2.162023,1.5760978
2.162023,1.6368442
2.162023,1.8353848
2.162023,1.9747862
2.162023,2.0814497
2.162023,2.1644661
2.162023,2.1639535
2.320031,2.174732
2.320031,2.277734
2.320031,2.317707
2.320031,2.3089187
2.320031,2.3010716
2.320031,2.2990808
2.320031,2.3091471
3.094052,2.6272578
3.094052,2.7520852
3.094052,2.9700587
3.094052,3.1650856
3.094052,3.2123356
3.094052,3.1753223
3.094052,3.1218088
3.094052,3.0924828
3.094052,3.093489
3.9456804,3.1582482
3.9456804,3.3711019
3.9456804,3.5947266
3.9456804,3.7632399
3.9456804,3.8284242
3.9456804,3.940188
3.9456804,3.9899411
3.9456804,3.9460864
3.9456804,3.9447384
3.4979217,3.5407262
3.4979217,3.2942379
3.4979217,3.1213322
3.4979217,3.0020556
3.4979217,2.974274
3.4979217,2.9676235
3.4979217,3.160638
2.8035593,3.9096184
2.8035593,3.897555
2.8035593,3.7390327
2.8035593,3.5508246
2.8035593,3.3897371
2.8035593,3.266316
2.8035593,3.0555437
2.8035593,2.7888486
2.1365361,2.7373085
2.1365361,2.806806
2.1365361,2.8293688
2.1365361,2.7765417
2.1365361,2.616529
2.1365361,2.4990382
2.1365361,2.3285782
2.1365361,2.138679
2.1365361,2.1276293
2.1365361,2.1365361
1.691186,2.108626
1.691186,2.0985227
1.691186,2.003572
1.691186,1.850751
1.691186,1.7827427
1.691186,1.7033712
1.691186,1.6794461
1.6264231,1.4686725
1.6264231,1.3728102
1.6264231,1.2929122
1.6264231,1.2224765
1.6264231,1.1646299
1.6264231,1.3985822
1.6264231,1.5993408
1.6264231,1.6292361
1.6264231,1.627409
3.2158256,1.8111889
3.2158256,2.0400088
3.2158256,2.1437957
3.2158256,2.163803
3.2158256,2.3322322
3.2158256,2.5799968
3.2158256,2.8805807
3.2158256,3.2162652
3.2158256,3.225963
3.9332442,3.8057537
3.9332442,3.844902
3.9332442,3.8344507
3.9332442,3.851881
3.9332442,3.961186
3.9332442,3.9737728
3.9332442,3.9535372
2.9094303,3.6043448
2.9094303,3.5551932
2.9094303,3.4602354
2.9094303,3.3422132
2.9094303,3.2473862
2.9094303,3.2257528
2.9094303,3.1107008
2.9094303,2.8983042
2.9094303,2.9057858
2.9236465,2.946428
2.9236465,2.9970095
2.9236465,3.0439243
2.9236465,3.0636969
2.9236465,3.0350702
2.9236465,2.983753
2.9236465,2.9437733
2.9236465,2.9239173
2.615397,3.0075657
2.615397,3.0276392
2.615397,3.1491053
2.615397,3.3070827
2.615397,3.1869717
2.615397,3.0521212
2.615397,2.8570135
2.615397,2.6049306
1.3289839,2.248944
1.3289839,1.9872838
1.3289839,1.6964358
1.3289839,1.4429482
1.3289839,1.339009
1.3289839,1.2946241
1.3289839,1.2990265
1.3289839,1.3296767
2.9670165,1.8783741
2.9670165,2.1600397
2.9670165,2.3910217
2.9670165,2.5787935
2.9670165,2.7201152
2.9670165,2.7664666
2.9670165,2.8451722
2.9670165,2.9731874
2.4252126,3.4244463
2.4252126,3.721267
2.4252126,4.0382743
2.4252126,4.1532936
2.4252126,3.722875
2.4252126,3.284771
2.4252126,2.8048546
2.4252126,2.4024382
2.9452102,1.950572
2.9452102,2.0178761
2.9452102,2.1114128
2.9452102,2.2719738
2.9452102,2.6159272
2.9452102,2.7994895
2.9452102,2.9079115
2.9452102,2.948258
2.9452102,2.9461024
5.249203,3.3476996
5.249203,3.294803
5.249203,3.2940238
5.249203,3.4420085
5.249203,3.6910322
5.249203,4.0709496
5.249203,4.586778
5.249203,5.2445908
5.249203,5.267058
3.3352022,5.0930166
3.3352022,4.7986937
3.3352022,4.6173635
3.3352022,4.4354863
3.3352022,3.906341
3.3352022,3.5428362
3.3352022,3.36548
4.6201177,3.6274722
4.6201177,3.9837737
4.6201177,4.212709
4.6201177,4.3249907
4.6201177,4.456166
4.6201177,4.466728
4.6201177,4.5124984
4.6201177,4.6251116
5.632942,5.08184
5.632942,5.141798
5.632942,5.313916
5.632942,5.642555
5.632942,5.6324034
5.632942,5.5326834
5.632942,5.498803
5.632942,5.6223392
5.632942,5.639845
5.632942,5.632942
6.4400783,5.2914896
6.4400783,5.215019
6.4400783,5.2574425
6.4400783,5.4256287
6.4400783,5.760188
6.4400783,6.110967
6.4400783,6.3554006
6.1774426,6.6557703
6.1774426,6.751045
6.1774426,6.76481
6.1774426,6.7648425
6.1774426,6.81001
6.1774426,6.595988
6.1774426,6.3375154
6.1774426,6.1669583
6.785604,6.175253
6.785604,6.346491
6.785604,6.4453344
6.785604,6.479913
6.785604,6.4906983
6.785604,6.62187
6.785604,6.740403
6.785604,6.7848597
6.785604,6.787865
6.303967,6.318445
6.303967,6.0082307
6.303967,5.6795745
6.303967,5.472096
6.303967,5.5874543
6.303967,5.9821086
6.303967,6.2281427
6.303967,6.3119082
6.303967,6.3096156
6.646643,5.824619
6.646643,5.652016
6.646643,5.805528
6.646643,6.1104193
6.646643,6.28119
6.646643,6.359305
6.646643,6.4913826
6.646643,6.659157
6.8928733,6.848176
6.8928733,6.9844427
6.8928733,7.1316233
6.8928733,7.273607
6.8928733,7.374413
6.8928733,7.2386475
6.8928733,7.051807
6.8928733,6.8936696
6.8928733,6.8880553
7.985173,6.5129046
7.985173,6.261295
7.985173,6.202453
7.985173,6.400149
7.985173,6.9759903
7.985173,7.5203247
7.985173,7.876004
7.0183697,7.7928157
7.0183697,7.634904
7.0183697,7.526856
7.0183697,7.414999
7.0183697,7.2160115
7.0183697,7.0664554
7.0183697,6.994448
7.0183697,7.0188637
7.0183697,7.018523
7.624058,6.841903
7.624058,6.802336
7.624058,6.8556356
7.624058,7.0533733
7.624058,7.401442
7.624058,7.468376
7.624058,7.5092216
7.624058,7.623024
7.624058,7.6271515
8.03218,7.847212
8.03218,7.918722
8.03218,7.995662
8.03218,8.139987
8.03218,8.480279
8.03218,8.652358
8.03218,8.381018
6.9268756,7.1585226
6.9268756,6.8713193
6.9268756,6.3181605
6.9268756,5.9517183
6.9268756,5.910819
6.9268756,6.2880826
6.9268756,6.7296915
6.9268756,6.9387703
6.9268756,6.9285226
7.265576,7.1719356
7.265576,7.2038426
7.265576,6.9913898
7.265576,6.6303205
7.265576,6.477321
7.265576,6.5118184
7.265576,6.792293
7.265576,7.262824
7.265576,7.279426
5.2888393,7.5542245
5.2888393,7.286095
5.2888393,7.1518984
5.2888393,7.1260195
5.2888393,6.9723988
5.2888393,6.5640616
5.2888393,5.9348264
6.048557,4.90036
6.048557,5.0788507
6.048557,5.5268383
6.048557,5.9787784
6.048557,6.2732553
6.048557,6.2356677
6.048557,6.1203866
6.048557,6.0442047
7.1584873,6.291015
7.1584873,6.1788483
7.1584873,6.1685066
7.1584873,6.33711
7.1584873,6.74034
7.1584873,7.021177
7.1584873,7.1547065
7.1584873,7.1583242
7.1584873,7.1596413
7.1584873,7.1584873
7.8151407,7.858207
7.8151407,8.188022
7.8151407,8.195199
7.8151407,7.9973793
7.8151407,7.916878
7.8151407,7.831233
7.8151407,7.8037443
9.565512,8.280925
9.565512,9.006275
9.565512,9.632177
9.565512,9.9660015
9.565512,9.972758
9.565512,9.963083
9.565512,9.814181
9.565512,9.555744
9.565512,9.559232
11.25071,8.837305
11.25071,8.748916
11.25071,8.999842
11.25071,9.565236
11.25071,10.270662
11.25071,10.869541
11.25071,11.20572
11.25071,11.251227
11.25071,11.253534
10.9059515,10.791844
10.9059515,10.259626
10.9059515,9.765366
10.9059515,9.330249
10.9059515,9.079238
10.9059515,9.472458
10.9059515,10.196158
11.53134,11.295168
11.53134,11.521997
11.53134,11.485993
11.53134,11.258163
11.53134,10.971394
11.53134,10.945576
11.53134,11.175592
11.53134,11.549839
13.285343,12.127955
13.285343,12.329766
13.285343,12.621076
13.285343,13.071084
13.285343,13.58223
13.285343,13.715436
13.285343,13.56711
13.285343,13.286808
13.285343,13.273986
13.285343,13.285343
12.798521,12.451511
12.798521,12.286146
12.798521,12.179541
12.798521,12.044393
12.798521,11.874855
12.798521,12.194507
12.798521,12.568072
9.264364,12.4196615
9.264364,11.968441
9.264364,11.371495
9.264364,10.761761
9.264364,10.250952
9.264364,9.843657
9.264364,9.483386
9.264364,9.250237
9.264364,9.2608185
10.512216,9.042157
10.512216,8.849325
10.512216,8.835308
10.512216,9.06367
10.512216,9.435913
10.512216,9.841946
10.512216,10.205381
10.512216,10.51112
11.331153,10.428431
11.331153,10.341273
11.331153,10.525554
11.331153,10.850296
11.331153,11.115573
11.331153,11.443652
11.331153,11.504859
11.331153,11.326875
11.230593,10.853327
11.230593,10.518307
11.230593,10.091846
11.230593,9.880556
11.230593,10.089618
11.230593,10.410249
11.230593,10.846211
11.230593,11.255107
9.900155,11.654244
9.900155,11.528212
9.900155,11.419913
9.900155,11.278186
9.900155,10.859785
9.900155,10.40792
9.900155,10.059387
9.900155,9.902357
9.900155,9.891152
9.900155,9.900155
9.308056,9.243372
9.308056,8.728498
9.308056,8.707519
9.308056,9.101925
9.308056,9.643547
9.308056,9.86878
9.308056,9.6454735
8.052554,8.492822
8.052554,8.015214
8.052554,7.6722326
8.052554,7.5838065
8.052554,7.8153057
8.052554,7.9704494
8.052554,8.055995
8.052554,8.053148
8.052554,8.052728
7.3284535,8.184824
7.3284535,8.217259
7.3284535,8.1909895
7.3284535,8.069604
7.3284535,7.832946
7.3284535,7.426908
7.3284535,7.2207894
7.3284535,7.327653
7.3284535,7.330434
8.100541,7.534129
8.100541,7.6734676
8.100541,7.870871
8.100541,8.090914
8.100541,8.145745
8.100541,8.1547785
8.100541,8.133458
8.652456,8.054519
8.652456,8.119814
8.652456,8.172466
8.652456,8.274959
8.652456,8.50682
8.652456,8.690962
8.652456,8.745424
8.652456,8.648257
8.886418,8.686252
8.886418,8.668441
8.886418,8.666718
8.886418,8.685075
8.886418,8.716881
8.886418,8.694511
8.886418,8.7518635
8.886418,8.884665
8.886418,8.892305
8.886418,8.886418
9.117796,9.033505
9.117796,9.12082
9.117796,9.24525
9.117796,9.34138
9.117796,9.090574
9.117796,8.992609
9.117796,9.033201
9.732482,9.216577
9.732482,9.502834
9.732482,9.756772
9.732482,9.862538
9.732482,9.90354
9.732482,9.899148
9.732482,9.834653
9.732482,9.729135
9.732482,9.729863
10.419338,9.705026
10.419338,9.705727
10.419338,9.768856
10.419338,9.878524
10.419338,9.997766
10.419338,10.029797
10.419338,10.163042
10.419338,10.421959
10.419338,10.424726
11.07252,10.681921
11.07252,10.859396
11.07252,10.94754
11.07252,10.951149
11.07252,10.85463
11.07252,10.940889
11.07252,11.039119
12.051777,11.218585
12.051777,11.46956
12.051777,11.640106
12.051777,11.744415
12.051777,11.884564
12.051777,11.976108
12.051777,12.033561
12.051777,12.05335
12.051777,12.052246
10.694152,11.854598
10.694152,11.824285
10.694152,11.903538
10.694152,11.974983
10.694152,11.750738
10.694152,11.483884
10.694152,11.146736
10.694152,10.70304
10.191762,9.989566
10.191762,9.4422865
10.191762,9.21444
10.191762,9.355566
10.191762,9.817633
10.191762,10.207539
10.191762,10.306405
10.191762,10.188127
9.368454,9.549691
9.368454,9.187105
9.368454,8.944903
9.368454,8.807627
9.368454,8.709036
9.368454,8.863282
9.368454,9.127946
9.368454,9.381916
8.884288,9.528974
8.884288,9.534028
8.884288,9.2322855
8.884288,8.771442
8.884288,8.654891
8.884288,8.703764
8.884288,8.805338
8.884288,8.883941
8.884288,8.888019
8.440322,8.938388
8.440322,8.879856
8.440322,8.917705
8.440322,9.004636
8.440322,9.036609
8.440322,8.873572
8.440322,8.640474
8.440322,8.434753
7.7016077,8.224206
7.7016077,8.13207
7.7016077,8.047672
7.7016077,7.959831
7.7016077,7.8426
7.7016077,7.6959586
7.7016077,7.6375337
7.7016077,7.7044687
8.235636,7.7636657
8.235636,7.7952127
8.235636,7.87768
8.235636,8.001036
8.235636,8.066343
8.235636,8.182813
8.235636,8.24757
8.235636,8.235681
8.235636,8.235621
8.235636,8.235636
8.505001,8.22885
8.505001,8.209369
8.505001,8.089795
8.505001,7.948427
8.505001,8.098035
8.505001,8.247682
8.505001,8.3736315
8.505001,8.503202
8.369758,8.544323
8.369758,8.450324
8.369758,8.459126
8.369758,8.41865
8.369758,8.205862
8.369758,8.107482
8.369758,8.2000065
8.176704,8.599075
8.176704,8.814074
8.176704,8.966545
8.176704,9.069418
8.176704,9.126675
8.176704,8.952674
8.176704,8.570327
8.176704,8.16807
8.176704,8.162144
7.313789,7.7109666
7.313789,7.7019405
7.313789,7.8371205
7.313789,8.004576
7.313789,8.106218
7.313789,7.8159394
7.313789,7.485807
7.313789,7.3082523
7.3691955,6.699671
7.3691955,6.3204193
7.3691955,6.102546
7.3691955,6.142768
7.3691955,6.517766
7.3691955,6.989166
7.3691955,7.309896
7.3691955,7.371111
6.776537,7.584941
6.776537,7.5243473
6.776537,7.2915606
6.776537,7.032396
6.776537,6.963973
6.776537,6.7577996
6.776537,6.678243
6.776537,6.7786884
6.776537,6.7789135
5.703302,6.9403367
5.703302,6.9952044
5.703302,6.968497
5.703302,6.845037
5.703302,6.613116
5.703302,6.33381
5.703302,6.004177
5.703302,5.6950307
6.4284153,5.5453897
6.4284153,5.7046294
6.4284153,5.9018493
6.4284153,6.115246
6.4284153,6.3397336
6.4284153,6.4412136
6.4284153,6.457185
6.4284153,6.427821
6.795936,6.430733
6.795936,6.148293
6.795936,6.046466
6.795936,6.1312456
6.795936,6.330061
6.795936,6.547499
6.795936,6.711117
6.795936,6.7988806
6.795936,6.7991924
6.4825697,6.8373456
6.4825697,6.6730204
6.4825697,6.44825
6.4825697,6.278748
6.4825697,6.2994227
6.4825697,6.3290286
6.4825697,6.40028
6.4825697,6.4849224
6.5337,6.4711704
6.5337,6.5573063
6.5337,6.6580505
6.5337,6.700898
6.5337,6.6058393
6.5337,6.5559287
6.5337,6.5349984
6.5337,6.533573
6.5337,6.533546
5.866086,6.607462
5.866086,6.6459284
5.866086,6.6452136
5.866086,6.602743
5.866086,6.5265274
5.866086,6.3402257
5.866086,6.09998
5.6776166,5.7005424
5.6776166,5.6896706
5.6776166,5.8000274
5.6776166,5.966531
5.6776166,6.1063733
5.6776166,6.0622563
5.6776166,5.886684
5.6776166,5.67189
5.6776166,5.6719913
6.0713716,5.526528
6.0713716,5.4591713
6.0713716,5.56996
6.0713716,5.761985
6.0713716,5.8388195
6.0713716,5.953426
6.0713716,6.0392594
6.0713716,6.0725794
7.1219044,6.2023883
7.1219044,6.232107
7.1219044,6.3652925
